ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:0009535	chloroplast thylakoid membrane	60/498	363/26902	0.165289256198347	8.92893889608019	20.8876762683682	5.71472762190658e-39	1.27628916889247e-37	9.42428765717928e-38	OE23/NDH-O/DEG1/NA/PSAK/NA/FLU/NA/PSAD-2/CHLM/NA/NA/PnsL3/LHCB3/PSBQ/PETC/ATLFNR1/ATLOX2/OEC33/ATPLAT1/PSAH-2/LHCA3/RIQ2/CAB4/RIQ1/PSAL/PPD1/EMB2458/LHCB2/HCF136/PSB29/ATHMA8/LHCA2/NA/NdhN/ELIP2/ACSF/MET1/SECE1/PSBR/CURT1A/TROL/LHCA2*1/CP24/RBCS1A/NA/CRR3/PSBW/PAM68L/PRK/LHCB4.3/NA/LHCB4.2/LIL3:1/NA/OHP/LHCA1/EDA3/TL17/PSAF	60
CC	GO:0019867	outer membrane	64/498	495/26902	0.129292929292929	6.98441442537828	18.4556246721074	6.12331704103539e-35	1.02565560437343e-33	7.57357634022798e-34	OE23/NDH-O/DEG1/NA/PSAK/NA/FLU/NA/NA/PSAD-2/CHLM/NA/NA/PnsL3/LHCB3/PSBQ/PETC/NA/ATLFNR1/ATLOX2/OEC33/ATPLAT1/PSAH-2/LHCA3/NADKc/RIQ2/CAB4/RIQ1/PSAL/PPD1/EMB2458/LHCB2/HCF136/PSB29/ATHMA8/LHCA2/NA/NdhN/ELIP2/ACSF/MET1/SECE1/PSBR/CURT1A/TROL/LHCA2*1/CP24/RBCS1A/NA/CRR3/PSBW/PAM68L/At-NEET/PRK/LHCB4.3/NA/LHCB4.2/LIL3:1/NA/OHP/LHCA1/EDA3/TL17/PSAF	64
CC	GO:0031968	organelle outer membrane	64/498	495/26902	0.129292929292929	6.98441442537828	18.4556246721074	6.12331704103539e-35	1.02565560437343e-33	7.57357634022798e-34	OE23/NDH-O/DEG1/NA/PSAK/NA/FLU/NA/NA/PSAD-2/CHLM/NA/NA/PnsL3/LHCB3/PSBQ/PETC/NA/ATLFNR1/ATLOX2/OEC33/ATPLAT1/PSAH-2/LHCA3/NADKc/RIQ2/CAB4/RIQ1/PSAL/PPD1/EMB2458/LHCB2/HCF136/PSB29/ATHMA8/LHCA2/NA/NdhN/ELIP2/ACSF/MET1/SECE1/PSBR/CURT1A/TROL/LHCA2*1/CP24/RBCS1A/NA/CRR3/PSBW/PAM68L/At-NEET/PRK/LHCB4.3/NA/LHCB4.2/LIL3:1/NA/OHP/LHCA1/EDA3/TL17/PSAF	64
CC	GO:0009521	photosystem	14/498	55/26902	0.254545454545455	13.7505658999635	12.9995088832862	1.00698973261026e-12	1.49929582410861e-11	1.10709982298672e-11	OE23/NA/PSAD-2/PnsL3/OEC33/PSAH-2/PSAL/PPD1/LHCB2/LHCA2/PSBR/CP24/OHP/PSAF	14
CC	GO:0031977	thylakoid lumen	14/498	71/26902	0.197183098591549	10.6518468239154	11.1836917227231	4.24834784511133e-11	5.69278611244918e-10	4.20362839411015e-10	OE23/DEG1/NA/PnsL3/PSBQ/ATLFNR1/OEC33/PPD1/HCF136/AtFBA1/RBCS1A/NA/NA/TL17	14
CC	GO:0010319	stromule	10/498	39/26902	0.256410256410256	13.8513026464834	11.0297640062435	1.69738259208377e-09	2.06772061217478e-08	1.52683218809449e-08	AOR/MDH/PSB29/SHM1/CSP41A/ATGSTF5/PRK/2CPA/ARC2/CRB	10
CC	GO:0009543	chloroplast thylakoid lumen	11/498	52/26902	0.211538461538462	11.4273246833488	10.3363318760405	2.38773522933559e-09	2.66630433942474e-08	1.96883431190829e-08	OE23/DEG1/NA/PnsL3/PSBQ/OEC33/PPD1/HCF136/NA/NA/TL17	11
CC	GO:0031978	plastid thylakoid lumen	11/498	53/26902	0.207547169811321	11.211714783663	10.2196630085399	2.96325784575126e-09	3.05443501023591e-08	2.2554351214625e-08	OE23/DEG1/NA/PnsL3/PSBQ/OEC33/PPD1/HCF136/NA/NA/TL17	11
CC	GO:0048046	apoplast	25/498	337/26902	0.0741839762611276	4.00742435617842	7.62989874429912	5.17465169870104e-09	4.95288091161385e-08	3.65727262915713e-08	OE23/NA/ATGER3/LTP3/AOR/ATLFNR1/SBPASE/MDH/GAPA-2/BGAL6/AtFBA1/ATHPR1/MCO3/SHM1/RBCS1A/CSP41A/ATSBT5.2/NA/PRK/2CPA/ARC2/ATLTP1/NA/CRB/AMY1	25
CC	GO:0009523	photosystem II	9/498	36/26902	0.25	13.5050200803213	10.310937638338	1.43439170334874e-08	1.2813899216582e-07	9.46195228875657e-08	OE23/NA/PnsL3/OEC33/PPD1/LHCB2/PSBR/CP24/OHP	9
CC	GO:0010287	plastoglobule	10/498	60/26902	0.166666666666667	9.00334672021419	8.52322282598239	1.4216614973269e-07	1.19064150401128e-06	8.79185399662689e-07	OEC33/LHCA3/PSAL/LHCB2/AtFBA1/CURT1A/CSP41A/LHCA1/CRB/PSAF	10
CC	GO:0009654	photosystem II oxygen evolving complex	6/498	19/26902	0.315789473684211	17.0589727330374	9.61655936058448	8.63379791558375e-07	6.80546423934249e-06	5.02524460721283e-06	OE23/NA/PnsL3/OEC33/PPD1/PSBR	6
CC	GO:0009522	photosystem I	6/498	22/26902	0.272727272727273	14.7327491785323	8.84948948918043	2.26481749082636e-06	1.68603079872629e-05	1.244987392618e-05	PSAD-2/PSAH-2/PSAL/LHCB2/LHCA2/PSAF	6
CC	GO:0098807	chloroplast thylakoid membrane protein complex	6/498	23/26902	0.260869565217391	14.0921948664222	8.62648450835616	3.01635663456768e-06	2.12732520543194e-05	1.57084500636765e-05	LHCB3/ATLFNR1/OEC33/LHCB2/TROL/LIL3:1	6
